District,Building name,Last date of residence of the (s),Related probable/confirmed s,Number of cases
Kwun Tong,"Infinity Eight, 8 Clear Water Bay Road (non-residential)",16/7/2020,"1322, 1710",2
Eastern,Island Resort Mall (non-residential),16/7/2020,1764,1
Yau Tsim Mong,iSQUARE (non-residential),16/7/2020,1833,1
Kwun Tong,Kowloon Bay Industrial Centre Kowloon Café (non-residential),16/7/2020,2071,1
Sai Kung,Li Dak Sum Yip Yio Chin Kenneth Li Conference Lodge (non-residential),16/7/2020,1991,1
Kwai Tsing,Metroplaza McDonald’s (non-residential),16/7/2020,1973,1
Yau Tsim Mong,Mong Kok Complex (non-residential),16/7/2020,1833,1
Sha Tin,MOSTown (non-residential),16/7/2020,2146,1
Kwai Tsing,MTR Kwai Fong Station (non-residential),16/7/2020,2023,1
Sham Shui Po,Nam Pont Building (non-residential),16/7/2020,1907,1
North,North District Sports Ground (non-residential),16/7/2020,2166,1
Tuen Mun,Ocean Walk Fairwood (non-residential),16/7/2020,1797,1
Wong Tai Sin,Our Lady of Maryknoll Hospital (non-residential),16/7/2020,"1331, 1815, 2187",3
Kwun Tong,Ping Shek Estate Fairwood (non-residential),16/7/2020,"1710, 1854",2
Kwun Tong,Ping Shek Estate McDonald’s (non-residential),16/7/2020,1904,1
Yau Tsim Mong,"Pioneer Centre, Chiu Garden (non-residential)",16/7/2020,1962,1
Wong Tai Sin,Plaza Hollywood McDonald's (non-residential),16/7/2020,1637,1
Sai Kung,"PopWalk, Eastern Plus (non-residential)",16/7/2020,1593,1
Kwun Tong,Richland Gardens Commercial Building (non-residential),16/7/2020,1898,1
Tuen Mun,San Hui Market (non-residential),16/7/2020,"1471, 1561, 1907, 1931",4
Kwai Tsing,Shek Lei Shopping Centre (non-residential),16/7/2020,1818,1
Wong Tai Sin,Sheung Fung Street Market (non-residential),16/7/2020,1681,1
Wan Chai,"Sing Kung Lau, Hot In A Pot (non-residential)",16/7/2020,1909,1
Yau Tsim Mong,Stanford Hotel (non-residential),16/7/2020,1718,1
Wong Tai Sin,Stewards Pooi Tun Secondary School (non-residential),16/7/2020,1637,1
Tuen Mun,Tai Hing Estate Commercial Complex Café de Cora (non-residential),16/7/2020,2156,1
Wong Tai Sin,Tai Shing Street Market (non-residential),16/7/2020,"1439,1599, 1618, 1757, 1914, 2423",6
Yau Tsim Mong,The One (non-residential),16/7/2020,2441,1
Kowloon City,The Whampoa (non-residential),16/7/2020,1848,1
Yuen Long,Tin Lai Court (non-residential),16/7/2020,1907,1
Kowloon City,To Kwa Wan Maket and Government Offices (non-residential),16/7/2020,"1498, 1716, 1754",3
Kowloon City,Trade and Industry Tower (non-residential),16/7/2020,1617,1
Yuen Long,"Transport Plaza, Café 100% (non-residential)",16/7/2020,1613,1
Tuen Mun,"Trend Plaza, Itacho Sushi (non-residential)",16/7/2020,1778,1
Sai Kung,Tsui Lam Square Hei Yuet Palace (non-residential),16/7/2020,1759,1
Wong Tai Sin,Tsz Wan Shan Shopping Centre (non-residential),16/7/2020,"1404, 1444, 1477, 1491, 1507, 1508, 1520,  1538, 1549, 1556, 1564, 1565, 1570, 1579, 1583, 1586, 1588, 1601, 1603, 1637, 1643, 1667, 1669, 1680, 1698, 1702, 1703, 1705, 1709, 1720, 1744, 1757, 1761, 1773, 1775, 1779, 1845, 1896, 1902",39
Wong Tai Sin,Tsz Wan Shan Shopping Centre Deluxe Cuisine (non-residential),16/7/2020,"1430, 1440, 1444, 1445, 1484, 1519, 1531, 1532, 1555, 1586, 1605, 1662, 1666, 1698, 1702, 2035, 2086",17
Wong Tai Sin,Tsz Wan Shan Shopping Centre TamJai SamGor (non-residential),16/7/2020,1896,1
Wong Tai Sin,"Tsz Wan Shan Shopping Centre, Deluxe Cuisine (non-residential)",16/7/2020,"1430, 1440, 1444, 1445, 1484, 1519, 1531, 1532, 1555, 1586, 1605, 1662, 1666, 1698, 1702, 2035, 2086",17
Wong Tai Sin,"Tsz Wan Shan Shopping Centre, Fairwood (non-residential)",16/7/2020,"1491, 1699",2
Tuen Mun,"Tuen Mun Town Plaza, Nabe One (non-residential)",16/7/2020,1734,1
Tuen Mun,"Tuen Mun Town Plaza, Pacific Coffee (non-residential)",16/7/2020,1734,1
Sha Tin,Union Hospital (non-residential),16/7/2020,2028,1
Tsuen Wan,Vision City Tower 1 (non-residential),16/7/2020,1732,1
Wong Tai Sin,Wah Kay House (non-residential),16/7/2020,1720,1
Wan Chai,Wan Chai Tower (non-residential),16/7/2020,"1653, 2039, 2042",3
Tuen Mun,Yan Oi Market (non-residential),16/7/2020,2017,1
Kwun Tong,"Yuk Shek House, Ping Shek Estate (non-residential)",16/7/2020,"1597, 1904",2
Yau Tsim Mong,1-9 Cameron Lane (non-residential),17/7/2020,1986,1
Yau Tsim Mong,1-9 Cameron Lane (non-residential),17/7/2020,2250,1
Wan Chai,"310-312 Hennessy Road, Jollibee (non-residential)",17/7/2020,1749,1
Yau Tsim Mong,91-93 Ivy Street Sunny Thai Restaurant (non-residential),17/7/2020,2231,1
Central & Western,Alexandra House (non-residential),17/7/2020,1977,1
Sham Shui Po,"Block 11, Pak Tin Estate (non-residential)",17/7/2020,2652,1
Sham Shui Po,"Block 19, Shek Kip Mei Estate (non-residential)",17/7/2020,2688,1
Wong Tai Sin,"Block 5, Scenic View (non-residential)",17/7/2020,1869,1
Wan Chai,Causeway Bay Market (non-residential),17/7/2020,1923,1
Yau Tsim Mong,Champion Building (non-residential),17/7/2020,1681,1
Kowloon City,Chatham Gate (non-residential),17/7/2020,2102,1
Sham Shui Po,China Fen Hin Building (non-residential),17/7/2020,"2018, 2169",2
Wan Chai,Chinachem Century Tower (non-residential),17/7/2020,2382,1
Wong Tai Sin,Choi Hung Road Market & Cooked Food Centre (non-residential),17/7/2020,1962,1
North,Choi Ping House Choi Yuen Estate (non-residential),17/7/2020,1887,1
Kwun Tong,Choi Tak Shopping Centre (non-residential),17/7/2020,2320,1
North,Choi Yuen Plaza (non-residential),17/7/2020,1946,1
Eastern,Cityplaza (non-residential),17/7/2020,"1376, 1752",2
Eastern,Customs Headquarters Building (non-residential),17/7/2020,1769,1
Tsuen Wan,Discovery Park (non-residential),17/7/2020,"1859, 2204",2
Wan Chai,East Asia Mansion (non-residential),17/7/2020,2787,1
Wan Chai,East Point Centre (non-residential),17/7/2020,2032,1
Yau Tsim Mong,ELCHK Truth Lutheran Church (non-residential),17/7/2020,3563,1
Wong Tai Sin,Fung Tak Shopping Centre (non-residential),17/7/2020,"1689, 1773",2
Yau Tsim Mong,Gateway Arcade (non-residential),17/7/2020,2192,1
Sham Shui Po,Golden Computer Arcade (non-residential),17/7/2020,2186,1
Yau Tsim Mong,Grand Tower Tao Heung  (non-residential),17/7/2020,"1632, 1652, 1765, 1774, 1820, 1832, 1931, 1975, 2036,  2053, 2060, 2072, 2089, 2136,  2152, 2159, 2189",17
Tuen Mun,H.A.N.D.S Shopping Centre (non-residential),17/7/2020,1763,1
Yau Tsim Mong,Han Hing Mansion (non-residential),17/7/2020,1673,1
Central & Western,Hau Qin International Building (non-residential),17/7/2020,1745,1
Yau Tsim Mong,Hing Lee Commercial Building (non-residential),17/7/2020,2260,1
Kwun Tong,Hip Wo House (non-residential),17/7/2020,2124,1
Kowloon City,Hong Kong Baptist Hospital (non-residential),17/7/2020,"1314, 1364, 1557, 1644, 1779, 2008",6
Islands,Hong Kong International Airport Terminal 1 (non-residential),17/7/2020,1754,1
Wan Chai,Hong Kong Police Headquarters (non-residential),17/7/2020,2164,1
Sham Shui Po,Hop Hing Industrial Building (non-residential),17/7/2020,1934,1
Kowloon City,Hung Hom Municipal Services Building (non-residential),17/7/2020,"1760, 1765",2
Central & Western,ICBC Tower (non-residential),17/7/2020,1749,1
Wong Tai Sin,Kam Pik House Choi Hung Estate (non-residential),17/7/2020,"1612, 1671, 2009, 2032",4
Tuen Mun,Kam Wah Shopping Arcade (non-residential),17/7/2020,2254,1
Eastern,Ko Fung Court Harbour Heights  (non-residential),17/7/2020,1909,1
Tsuen Wan,Kolour Tsuen Wan I (non-residential),17/7/2020,1867,1
Tsuen Wan,Kolour‧Tsuen Wan Tao Heung Tea House (non-residential),17/7/2020,2196,1
Sham Shui Po,"Kowloon Plaza, Orion Kitchen (non-residential)",17/7/2020,"2031, 2035",2
Tuen Mun,K-Point (non-residential),17/7/2020,2017,1
Kwai Tsing,Kwai Chung Plaza (non-residential),17/7/2020,"1820, 1996",2
Kowloon City,Laguna Verde Tower 23 (non-residential),17/7/2020,1904,1
North,Landmark North (non-residential),17/7/2020,1989,1
Eastern,Lee & Man Commercial Center Deluxe Cuisine (non-residential),17/7/2020,1707,1
Sham Shui Po,Liberte Place (non-residential),17/7/2020,2018,1
Yau Tsim Mong,Lippo Sun Plaza (non-residential),17/7/2020,"1623, 1975",2
Wong Tai Sin,Lok Fu Plaza (non-residential),17/7/2020,"1695, 1774",2
Wong Tai Sin,Lung Poon Court Commercial Complex (non-residential),17/7/2020,1866,1
Sha Tin,Ma On Shan Plaza (non-residential),17/7/2020,2000,1
Central & Western,Man On Commercial Building (non-residential),17/7/2020,1745,1
Kwai Tsing,Metroplaza (non-residential),17/7/2020,1820,1
Yau Tsim Mong,Mira Place 2 (non-residential),17/7/2020,2263,1
Yau Tsim Mong,Mongkok Government Offices (non-residential),17/7/2020,"1799, 1951",2
Yau Tsim Mong,"MPM Plaza, Satay King (non-residential)",17/7/2020,1959,1
Yau Tsim Mong,"MTR Mong Kok East Station, Maxim's MX (non-residential)",17/7/2020,1951,1
Yau Tsim Mong,MTR Olympic Station (non-residential),17/7/2020,2204,1
Yau Tsim Mong,Nathan Hotel Tao Heung (non-residential),17/7/2020,2089,1
Sha Tin,"New Town Plaza, Jade Garden (non-residential)",17/7/2020,1937,1
Yau Tsim Mong,Office Tower 1 Grand Plaza (non-residential),17/7/2020,1687,1
Kwun Tong,One Kowloon (non-residential),17/7/2020,2376,1
Wan Chai,Pearl City Mansion (non-residential),17/7/2020,2038,1
Tuen Mun,Pentahotel Tuen Mun (non-residential),17/7/2020,1772,1
Kwun Tong,"Ping Shek Estate, Fairwood (non-residential)",17/7/2020,"1710, 1854, 1904, 2094",4
Wong Tai Sin,Plaza Hollywood (non-residential),17/7/2020,"1665, 1845, 2024",3
Kwun Tong,Richland Gardens Commercial Building Fairwood (non-residential),17/7/2020,1808,1
Sham Shui Po,Shek Kip Mei Estate Ancillary Facilities Block (non-residential),17/7/2020,2652,1
Sham Shui Po,Shek On Building (non-residential),17/7/2020,2186,1
Kwun Tong,"Shing Yip Industrial Building, Hoi Chiu Canteen (non-residential)",17/7/2020,2011,1
Kwun Tong,Shui Wo Street Municipal Services Building (non-residential),17/7/2020,2124,1
Wan Chai,Soundwill Plaza (non-residential),17/7/2020,1979,1
Wong Tai Sin,Tak Tsz House 新昌燒臘飯店 (non-residential),17/7/2020,1963,1
Kwun Tong,Telford Plaza (non-residential),17/7/2020,"1710, 2044",2
Wong Tai Sin,Temple Mall (non-residential),17/7/2020,"2201, 2380",2
Sham Shui Po,The Prominence (non-residential),17/7/2020,2249,1
Wan Chai,Times Square (non-residential),17/7/2020,2038,1
Kwai Tsing,Tsing Yi Municipal Services Building (non-residential),17/7/2020,2137,1
Wong Tai Sin,Tsz Wan Shan Shopping Centre Deluxe Cuisine (non-residential),17/7/2020,"1365,1393, 1424, 1425, 1515, 1538, 1607,1662, 1666, 2035, 2086, 2187",12
Wong Tai Sin,Tsz Wan Shan Shopping Centre Meet Point (non-residential),17/7/2020,"1686, 1936, 2160, 2161",4
Tuen Mun,"Tuen Mun Central Square, Fulum Restaurant (non-residential)",17/7/2020,"1739, 1740, 1743, 1783, 1951, 1952, 2017, 2083",8
Tuen Mun,Tuen Mun Plaza phase 2 Pho Le (non-residential),17/7/2020,2017,1
Tuen Mun,Tuen Mun Town Plaza Phase 2 Pho Le (non-residential),17/7/2020,2017,1
Sha Tin,Tung Wah Group Of Hospitals Mrs. Fung Wong Fung Ting College (non-residential),17/7/2020,2178,1
Southern,TWGHs Jockey Club Sunshine Complex for the Elderly (non-residential),17/7/2020,"1691, 1708, 1908",3
Tuen Mun,"Waldorf Garden, E-Mo Korean Restaurant (non-residential)",17/7/2020,1778,1
Tuen Mun,Waldorf Shopping Centre E-Mo Korean Restaurant (non-residential),17/7/2020,1778,1
Wan Chai,Windsor House East Ocean · Lafayette (non-residential),17/7/2020,1909,1
Central & Western,"Wing Wo Street, Wo Hing Commercial Building (non-residential)",17/7/2020,1730,1
Tsuen Wan,Yeung Uk Road Municipal Services Building (non-residential),17/7/2020,"1652, 2196",2
Kwun Tong,Yeung Yiu Chung No.5 Industrial Building (non-residential),17/7/2020,1687,1
Yuen Long,YOHO Mall I Pizza Express (non-residential),17/7/2020,"1903, 1996",2
Wong Tai Sin,Yue Yee Mansion (non-residential),17/7/2020,1779,1
Yau Tsim Mong,11 Hau Fook Street Ramen Ikka (non-residential),18/7/2020,2850,1
Central & Western,122 Belcher's Street (non-residential),18/7/2020,2768,1
Tai Po,1-3 Dai Wang Street (non-residential),18/7/2020,2045,1
Eastern,134 Electric Road Kind Medical Centre (non-residential),18/7/2020,1909,1
Kowloon City,19-21 Lion Rock Road 地茂館燒味粥麵餐廳 (non-residential),18/7/2020,2243,1
Sham Shui Po,"255 Ki Lung Street, TOMATO C HING (non-residential)",18/7/2020,2027,1
Central & Western,Admiralty Centre Tower 1 (non-residential),18/7/2020,"1864, 1740",2
Kowloon City,Berkeley Building Honolulu Restaurant (non-residential),18/7/2020,1723,1
Sham Shui Po,"Block B, West Kowloon Law Courts Building (non-residential)",18/7/2020,"1672, 1864",2
Kwun Tong,Camel Paint Building Block III The Cool Cousins Cafe & Noodle Bar (non-residential),18/7/2020,2376,1
Yuen Long,Central Park Towers I (non-residential),18/7/2020,2027,1
Eastern,Cheong Wei Industrial Building (non-residential),18/7/2020,"1988, 2144",2
Wong Tai Sin,Cheung Lok Building (non-residential),18/7/2020,2303,1
Sham Shui Po,Cheung Sha Wan Government Offices (non-residential),18/7/2020,"1501, 2128",2
Kowloon City,Ching Long Shopping Centre Golden Phoenix (non-residential),18/7/2020,1808,1
Kowloon City,"Chiu Man House, Oi Man Tea Restaurant (non-residential)",18/7/2020,1942,1
Sha Tin,Chung On Shopping Centre (non-residential),18/7/2020,"1906, 1979",2
Eastern,Cityplaza 3 (non-residential),18/7/2020,1738,1
Tsuen Wan,Citywalk Gyujin Shabu Shabu & Sukiyaki Restaurant (non-residential),18/7/2020,2263,1
Kowloon City,Civil Engineering And Development Building (non-residential),18/7/2020,2159,1
Kwun Tong,Domain Euro go go (non-residential),18/7/2020,1781,1
Kwun Tong,Domain Saizeriya Italian Restaurant (non-residential),18/7/2020,1781,1
Sham Shui Po,Dragon Centre The Palace (non-residential),18/7/2020,1864,1
Yau Tsim Mong,ELEMENTS (non-residential),18/7/2020,1715,1
North,Fanling Centre (non-residential),18/7/2020,1975,1
Tuen Mun,Fu Tai Market (non-residential),18/7/2020,1731,1
Tuen Mun,Fu Tai Shopping Centre (non-residential),18/7/2020,1731,1
