District,Building name,Last date of residence of the (s),Related probable/confirmed s,Number of cases
Sham Shui Po,"63 Wing Hong Street, Global Gateway Tower (non-residential)",16/7/2020,2031,1
Kwun Tong,8 Clear Water Bay Road Infinity Eight (non-residential),16/7/2020,"1710, 1869, 2094",3
Kwun Tong,8 Clear Water Bay Road Infinity Eight Café de Coral (non-residential),16/7/2020,"1904, 2004",2
Kwun Tong,APM (non-residential),16/7/2020,2450,1
Kowloon City,"Block 2, Phase 4 Whampoa Garden (non-residential)",16/7/2020,2376,1
Southern,"Block B, T.W.G.HS. Jockey Club Rehabilitation Complex (non-residential)",16/7/2020,1908,1
Wong Tai Sin,Buddhist Hung Sean Chau Memorial College (non-residential),16/7/2020,1637,1
Tuen Mun,Butterfly Plaza (non-residential),16/7/2020,1797,1
Wong Tai Sin,Canossa Primary School (San Po Kong) (non-residential),16/7/2020,1637,1
Central & Western,Carbo Mansion (non-residential),16/7/2020,1888,1
Yau Tsim Mong,Champion Building (non-residential),16/7/2020,"1681, 1839",2
Kwai Tsing,Cheung Hang Estate Commerical Complex (non-residential),16/7/2020,2106,1
Kowloon City,Cheung Kei Center Tower A (non-residential),16/7/2020,1888,1
Kwai Tsing,"Cheung On Estate, On Tao House (non-residential)",16/7/2020,1650,1
Sham Shui Po,China Fen Hin Building (non-residential),16/7/2020,2018,1
Wong Tai Sin,Choi Hung Estate Oi Kwan Fast Food Restaurant (non-residential),16/7/2020,1980,1
Sha Tin,Chung On Shopping Centre (non-residential),16/7/2020,1906,1
Yau Tsim Mong,Cite33 (non-residential),16/7/2020,2149,1
Wan Chai,Connaught Commercial Building (non-residential),16/7/2020,1849,1
Yau Tsim Mong,Edward Mansion (non-residential),16/7/2020,"1771, 2380",2
Tsuen Wan,Fortune Mansion (non-residential),16/7/2020,2024,1
Tai Po,Fortune Plaza (non-residential),16/7/2020,"1806, 2090",2
Kowloon City,Global Funeral Parlour (non-residential),16/7/2020,"1693, 1713",2
Yau Tsim Mong,Glorydays Building (non-residential),16/7/2020,1941,1
Kwun Tong,Gravity (non-residential),16/7/2020,1742,1
Wong Tai Sin,Hammer Hill Road Sports Ground (non-residential),16/7/2020,1640,1
Wan Chai,Hong Kong Adventist Hospital (non-residential),16/7/2020,1654,1
